Aaba,Mastersmith
Agnn1s,Sniper
alora,Sniper
Anieb,Paladino
Anjo,Paladino
Anunnaki,Sniper
Archer,Sniper
AstroBoy,Sniper
Ayumimi,High Priest
Babyyy,Sniper
BadMystake,Sniper
BaeBae,High Priest
Baguigo,Mastersmith
Bellior,High Wizard
Blind,High Priest
Boroca,Paladino
Caaki,High Priest
Call,High Priest
ChenX,Sniper
CriticalSoniC,Assassin Cross
Criticosz,High Wizard
Crookers,High Priest
Cuia,Assassin Cross
Cyclone,Sniper
d4noss,Sniper
DanielJr,High Priest
DanteV,Assassin Cross
DarKros,High Priest
DarnieR,High Wizard
Delacroix,Paladino
Diamondine,Paladino
DiegoCuia,Assassin Cross
DilsinhoMG,High Wizard
Dinda,Sniper
Drakioz,Champion
Drunox,High Priest
DURATESTON,High Wizard
Ettrian,High Priest
Evilz0r,Sniper
FbViveiros,Paladino
FrancisBR,High Priest
Fullmelt,High Priest
Gaudio,Sniper
Ginn,Assassin Cross
Gondrur,Lord Knight
guifelix,High Priest
Hackeroff,Paladino
Harword,Mastersmith
icesix,Paladino
Ignite,Sniper
Ilumy,High Priest
Ipouh,Lord Knight
Jabura,Paladino
Jheni,High Wizard
JuninBerrantei,Lord Knight
Kallvenar,Champion
Kami,Sniper
Kathryne,High Wizard
Kiina,Paladino
Killua,High Wizard
Knute,Mastersmith
Kong,High Wizard
kowitz,High Wizard
kunarii,Sniper
LamasHauxx,Sniper
Laufen,High Priest
lChu,Champion
Lilla,Mastersmith
Lillith,High Wizard
LKZM,Sniper
LordOfPeace,High Wizard
Lucii,High Wizard
LuisaoTV,Paladino
Macaroz,High Priest
Mamãe,Paladino
MasterDjinn,High Wizard
MatadorGordin,Sniper
Matchi,High Wizard
Mayco,High Wizard
Maythen,Lord Knight
Melk,Assassin Cross
Messias,High Wizard
MeteorMash,Mastersmith
Mndes,High Priest
MoBronze,Paladino
Mokilla,High Wizard
MoonKing,Assassin Cross
MoonPrincess,High Priest
Musato,Sniper
Muuzyn,Paladino
Naigui,High Priest
Naori,Champion
negaa,High Wizard
NeshBlues,Champion
Nofaxu,High Priest
Pacifista,Sniper
Pandinha,Lord Knight
Paraiba,High Wizard
Payet,High Priest
pisetta,Assassin Cross
Playmobill,High Wizard
Raafz,High Priest
Rafaelx191,Sniper
RapValerio,High Priest
RaviWiz,High Wizard
ReiLiao,High Priest
RicardoAWP,Sniper
Rickles,Paladino
Rousey,Lord Knight
roxaum,Assassin Cross
Roxzera,Mastersmith
Rparada,Sniper
Ryudo,Champion
Ryuna,Assassin Cross
Sagara,Lord Knight
Sagarinha,Champion
Shadu,Mastersmith
Sherlock,Lord Knight
ShinZera,Assassin Cross
Siku,High Wizard
SirCuca,High Priest
SirSiegfried,Paladino
Skyller,High Priest
Skyz,Assassin Cross
Spell,High Priest
Sultan,Champion
Telum,High Priest
TiaLin,Sniper
Topinho,Paladino
Trots,High Wizard
Tygo,Lord Knight
Valk,High Priest
Volcom,Champion
VTTO,Mastersmith
x',Paladino
xGypsy,High Priest
xLoki,High Wizard
xMidnighT,High Wizard
Yagami,Sniper
Yndie,Paladino
Yurgen,High Priest
Zagah,Mastersmith
Zarak,Sniper
Zercker,High Wizard
